P_LV,P_RV,V_LV,V_RV
135.02808049112127,31.346594110981492,81.23174955270876,77.83821780311652
134.9936963715778,31.290261402038137,81.11822720498752,77.60377750514175
134.95741260884645,31.23450277758836,81.00913748503929,77.37733908718604
134.9192452169394,31.179294217263557,80.90443901551016,77.15876107707568
134.87920986139787,31.12461167312516,80.80409234673076,76.94790649166247
134.8373013878508,31.070431118443043,80.70805404715001,76.7446427844434
134.79353054377114,31.016728614710377,80.61628725268125,76.54884182797416
134.74791308314192,30.963480350186,80.52875847000101,76.36037985167303
134.70044310718367,30.910662668607962,80.44542992470019,76.17913736719261
134.65112591234438,30.858252117883033,80.3662689466166,76.00499913172358
134.59997700334938,30.806225477736575,80.2912476318704,75.83785407981527
134.54699021431298,30.7545597722813,80.22033373951537,75.67759523408711
134.49216539673117,30.703232303139014,80.15349856628828,75.52411965482516
134.43551732890407,30.65222066906708,80.09071943364613,75.37732837097602
134.37703990150115,30.601502765981348,80.03196950481177,75.23712628247395
134.31672769207697,30.551056807012593,79.97722389759456,75.10342210036275
134.25459410369515,30.500861336285222,79.926464785724,74.97612828038253
134.19063319529403,30.45089521954605,79.87967058399579,74.8551609218591
134.12483452278113,30.40113765331297,79.83682014018224,74.74043970153237
134.0572091643229,30.351568174236036,79.79790005913169,74.63188781152442
133.9877510207125,30.302166642895518,79.76289376622299,74.5294318583773
133.9164446128591,30.252913243684713,79.73178370288431,74.43300179261138
133.84329680539977,30.203788490218333,79.70456025295971,74.34253085100259
133.76829931688397,30.154773203950434,79.68121116602667,74.25795545762125
133.6954682428782,30.10684605319583,79.66154066294841,74.17917089818543
133.62692323483856,30.06090280023677,79.64478870304853,74.10590309556925
133.56057524565992,30.0167714343299,79.63036470961079,74.03785629906432
133.49519633412544,29.97429385553815,79.61792107091568,73.97475909141372
133.4300804918922,29.933324812696224,79.60725746877854,73.91636244045667
133.36480861838237,29.893730860737893,79.59825464618221,73.86243786791151
133.2991175058408,29.855389380969665,79.59083748919667,73.81277573466775
133.23286186033727,29.818187739195395,79.5849643340363,73.7671837661933
133.16591323971764,29.78202241587509,79.58059847677708,73.72548554026143
133.0981540985311,29.746798300036325,79.5777064835803,73.6875192557651
133.02935357302985,29.712427944974472,79.57622309502965,73.65313644463482
132.95866577381113,29.67883093785918,79.57590933802264,73.62220087985398
132.88305020105665,29.645933281697634,79.57590533564615,73.59458750926434
132.80142641443473,29.61366680064156,79.57590384608642,73.5701814326464
132.71379339597,29.581968538887264,79.57590235819985,73.54887687145418
132.6201595929969,29.550780263718686,79.57590087217821,73.53057631550992
132.52053403114235,29.52004790183395,79.575899388189,73.51518956002676
132.41492631352673,29.489720053168835,79.57589790639503,73.50263119500909
132.30334661983937,29.45974763892826,79.57589642695636,73.4928199925773
132.18580570537242,29.43008080942446,79.57589495003216,73.48567368669251
132.06231489998177,29.400661690993523,79.57589347578121,73.48109672436601
131.93288610698832,29.371396913502277,79.57589200436168,73.47893388462693
131.797531802042,29.34195516324157,79.57589053593136,73.47862855581167
131.6562650319118,29.311414735083524,79.57588907064772,73.47862563153824
